时间,公司名,行业,轮次,金额,投资方,最新估值(估算)(万),标签,基本信息,团队信息
2022-02-10,智绿环保,汽车交通,C轮,1亿人民币,"小米长江产业基金（领投）, 涌铧投资, 元禾控股, 领军创投",100000,汽车交通、汽车零部件、汽车配件,智绿环保是一家新能源汽车电气系统供应商，公司专注于电动汽车领域大功率电子器件、高压连接、配电管理的技术研发、生产及提供整车系统的解决方案；服务从动力电池、驱动电机、三电技术到整车制造、充换电设施整个新能源汽车产业链。,"尹家彤 CEO 尹家彤，智绿chilye CEO，汽车工程学会电动汽车分会会员，国内早期从事电动汽车零部件的研发工作的专家之一，多项电动汽车行业标准的起草人；曾创立“多思达科技”，研发的电动汽车充电连接器在2010年占国内75%以上市场份额；个人申请专利超过15项。
 "
2022-02-10,东微半导体,先进制造,IPO上市,21.9亿人民币,,876000,先进制造、集成电路、新能源,东微半导体是一家技术驱动型的半导体技术公司，在作为半导体核心技术的器件领域有深厚的技术积累，专注半导体器件技术创新，拥有多项半导体器件核心专利。 2013年下半年，东微半导体原创的半浮栅器件的技术论文在美国《科学》期刊上发表，标志着首次国内科学家在半导体核心技术方向获得的重大突破。新闻联播、人民日报等媒体均进行了头条重点报道，引起了国内外业界的高度关注。2016年东微自主研发的新能源汽车直流大功率充电桩用核心芯片成功量产，打破国外厂商垄断。目前，东微半导体已成为国内高性能功率半导体领域的领头羊，在新能源领域替代进口半导体产品迈出了坚实一步，产品进入多个国际一线客户，受到客户一致好评。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-02-09,江苏三杰,先进制造,战略投资,未透露,长虹能源,50000,先进制造、新能源、环保,江苏三杰是一家锂电池产品研发生产商，定位在18650圆柱形动力锂离子电池领域，致力于高品质高端锂电池的开发和应用。,杨清欣 董事长兼总经理 在“泰州市第四届创业富民大赛”中喜获“十佳创业标兵”称号。 
2022-02-09,恩力动力,先进制造,A轮,1亿人民币,"微光创投（领投）, 博润资本, 绿动资本—中美绿色基金, 势能资本, 元诺天承",50000,先进制造、新能源、电池,上海恩力动力技术有限公司是恩力能源科技有限公司的关联企业，专注于下一代高性能动力电池（全固态电池）研发、产业化及销售的初创企业。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-02-07,启源芯动力,先进制造,战略投资,数千万人民币,宁德时代,15000,先进制造、新能源、充电桩,启源芯动力是国家电力投资集团有限公司旗下专注“绿电交通”领域的综合智慧能源服务商，主营电动重卡、电池资产管理以及充换电业务等绿色交通领域的新产业和新业态，业务包括新能源技术服务、电动汽车充电站与换电站的建设和营运、新能源汽车电池、零部件及机械设备的销售和租赁等。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-02-03,电管家,传统制造,A+轮,未透露,"朱雀投资, 国网英大产业投资基金管理, 南网资本",10000,传统制造、公用事业、新能源,电管家是一家电力管理服务平台，以客户为中心自主研发“电管家”各类管理服务平台，致力于为广大客户提供全方位的电力能源托管变电站24小时运维、全天候抢修、供电配套建设、光伏发电及分布式能源并网、储能技术运用和售电服务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-29,憬知梦蓝,先进制造,天使轮,数千万人民币,毅达资本（领投）,15000,先进制造、新能源、新能源,"憬知梦蓝是一家可再生能源解决方案提供，主要致力于为国内外客户提供自主创新的可再生能源解决方案。当前主要产品为拥有多项自主知识产权的海上漂浮式激光雷达测风系统平台，应用于海上风电场风资源勘查、风功率曲线验证以及海洋气象水文监测、远海供电与通讯等领域。
",宋励奋 CEO 宋励奋，憬知梦蓝CEO。 
2022-01-28,金石能源,先进制造,战略投资,数亿人民币,"比亚迪, 北京能源集团, 中金佳泰, 厦门国贸控股, 兴业资产, 中金资本",150000,先进制造、新能源、新能源,金石能源是一家高效太阳电池装备与技术公司，主要从事HDT高效太阳电池产业化生产设备及整套生产线“交钥匙工程”的研发、制造、销售及综合服务，致力于成为高效异质结太阳电池及高端光伏装备的世界级企业。,林朝晖 创始人 林朝晖，福建金石能源创始人、董事长。 
2022-01-27,辉能科技,先进制造,战略投资,近亿欧元,Daimler戴姆勒,390000,先进制造、集成电路、可穿戴设备,辉能科技是一家电源产品研发商， 在2013年实现了固态锂电池的商业化量产，早期应用于消费电子领域，近年来应用于新能源汽车领域。公司的产品包括柔型锂电池、超薄锂电池、异形锂电池等，可应用于通信、交通等领域，同时公司的业务还包括为便携式电子通讯设备、电动交通工具、柔性可穿戴设备提供定制化的电源产品解决方案。,刘强 董事长 刘强，董事长，天津市“千人计划”专家，先后在美国佐治亚大学、克利夫兰州立大学和亚利桑那州立大学从事柔性及微型电池研究。 
2022-01-26,晶科能源,先进制造,IPO上市,97.23亿人民币,,5000000,先进制造、新能源、新能源,晶科能源控股有限公司是一家太阳能光伏企业，为地面电站，商业以及民用客户提供太阳能产品，解决方案和技术服务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-26,H2Pro,先进制造,B轮,7500万美元,"淡马锡Temasek, Horizons Ventures维港投资, Breakdown Energy Ventures, Yara",243750,先进制造、新能源、新能源,H2Pro是一家以色列E-TAC水分解技术研发商，H2Pro的技术可帮助现代汽车降低制氢成本，从而降低消费者购买氢燃料的成本。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-25,奕东集团,先进制造,IPO上市,19.71亿人民币,,869700,先进制造、新材料、新材料,奕东集团是一家服务于电子信息和新能源产业的大型高科技集团控股企业，秉承“专注精密制造”的工匠精神，提供精密冲压件和塑胶件及其精密模具、各种表面处理、背光源、FPC及其补强板、和新能源精密结构件等产品。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-21,清研皓隆新能源,先进制造,战略投资,未透露,力合科创（力合创投）,50000,先进制造、新能源、新能源,清研皓隆新能源主营新型PTC加热膜产品，产品系列主打工作温度从55度到70度低温自控的产品，该产品主要适用于新能源锂电池热管理系统，从12V到600V的工作电压，从零下50度到80度的工作环境，均能稳定实现低温自控，具有非常高的PTC效率，能真正达到温控作用，不怕干烧，不烧膜，使用寿命长等特点。产品实现PI软板、硅胶板、环氧板等三种形势的封装，与新能源PACK有非常契合的应用场景。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-21,国鸿氢能,先进制造,战略投资,未透露,昌发展,50000,先进制造、新材料、电池,国鸿氢能是一家燃料电池生产商，公司主要产品包括氢燃料电池商用车、纯氢燃料备用电源、氢燃料电池电堆、燃料电池发动机等，产品广泛应用于各种车型、无人机、汽车交通、分布式电站等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-21,博清科技,智能硬件,战略投资,近亿人民币,中国石化,50000,智能硬件、机器人、机器人,博清科技是一家爬行焊接机器人研发商，旗下产品包括无轨导全位置爬行焊接机器人、平面自主移动焊接机器人等，具有自主识别焊缝、弯曲焊缝等功能，主要应用于油气化工、造船业、核电、水电、新能源等领域。,冯消冰 创始人 冯消冰，北京博清科技有限公司董事长 
2022-01-18,澳睿新能源,先进制造,A轮,近亿人民币,"祥峰投资Vertex, 国宏嘉信, 英诺天使基金",50000,先进制造、新能源、新能源,澳睿新能源拥有的高镍三元梯度正极材料等领先技术。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-18,Viridi Parente,先进制造,C轮,9500万美元,,308750,先进制造、新能源、电池,"Viridi Parente是一家美国锂离子电池供应商,该公司声称其开发防止电池热失控的安全技术，可以让锂离子电池系统在几乎任何环境中安全运营。",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-17,骥翀氢能,先进制造,A轮,1亿人民币,"中金资本, 江诣创投, 云泽资本, 北京建信投资, 上海蓝氢",50000,先进制造、新能源、新能源,骥翀氢能是一家氢燃料电池电堆解决方案供应商，主要业务涵盖定制化开发、生产制造与销售、电堆相关技术服务等，即电堆实物和技术服务两大类。目前，已完成第一代全国产化金属板电堆马和170系列产品的开发，预计2019年底开始对外销售；同时也已完成第二代金属板电堆马和290产品的方案设计。,付宇 董事长 付宇，骥翀氢能董事长。 
2022-01-12,Xurya,先进制造,A轮,2150万美元,"East Ventures, EV Growth, Saratoga Ventures, Nexus Indonesia, Schneider Electric",69875,先进制造、新能源、新能源,Xurya是一家太阳能服务商，为用户提供提供了一种“无投资”租赁系统，其“一站式解决方案”涵盖PLTS可行性研究、安装、运行和维护等服务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-11,深度智控,先进制造,战略投资,未透露,腾讯投资,50000,先进制造、新能源、物联网,深度智控是一家智慧能源创新公司，专注于行业领先的节能控制、人工智能AI与物联网IOT，实现能源供给、使用与运维的安全与高效。,常晓敏 CEO 常晓敏，深智控CEO. 
2022-01-11,Ostrom,先进制造,Pre-A轮,440万欧元,"Global Founders Capital, 468 Capital, Übermorgen Ventures, J12 Ventures",17160,先进制造、新能源、新能源,Ostrom是德国一家数字化绿色能源供应商，致力于通过构建未来的能源服务平台，为用户提供每月的灵活电价、无锁定投资和全数字体验服务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-11,Silicon Ranch,先进制造,战略投资,4亿美元,"Manulife Investment Management, Manulife Infrastructure Fund II",1300000,先进制造、新能源、新能源,Silicon Ranch是一家美国太阳能发电服务提供商，目前公司已落成海军航空站子午线太阳能项目、福特卢普顿太阳能农场、绿色电源EMC等项目，同时公司为用户提供工业、国防等领域的太阳能解决方案。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-07,舜华新能源,先进制造,战略投资,未透露,中石化,50000,先进制造、新能源、新能源,舜华新能源是一家氢能和分布式能源技术研发和推广商，公司的主营业务包括供氢系统及加氢设备研发销售、加氢站设计与工程技术服务、分布式能源动力装置的研发和系统集成等。,高顶云 董事长 高顶云，舜华新能源董事长。 
2022-01-05,智租出行,先进制造,B轮,1.1亿人民币,"钱江摩托（领投）, 徐州润汇",55000,先进制造、新能源、物联网,智租出行是一家新能源领域的创新型物联网科技公司。业务范围包括末端配送智能车辆租售服务、智能充换电柜、新能源智能锂电池、IOT云管理平台服务、线上大数据服务、线下维养服务、金融保险综合解决方案服务等。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-04,中润化学,先进制造,A轮,未透露,汇嘉基金,10000,先进制造、新能源、新能源,"中润化学是一家锂电池溶剂NMP研发生产商。公司为中润达集团旗下子公司，专注于研发生产销售N-甲基吡咯烷酮（NMP），其NMP产能达10万吨，且在环保安全、成本能耗、性能指标都处于全国领先水平，同时与上游原料BDO厂家、下游客户电池厂建立了战略合作关系。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-01-03,爱驰汽车AIWAYS,汽车交通,战略投资,数亿人民币,东柏集团,2000000,汽车交通、汽车制造、电动车,爱驰汽车AIWAYS是一家智能电动车制造商，通过运用线上和线下模式组合，以及研发后市场的资源整合，对消费群体提供产品与服务。主要面向普通消费阶层的产品，提倡智能化、电动化、电商化、共享化。,付强 创始人 付强，爱驰汽车创始人、总裁。哈尔滨工业大学技术经济与管理博士生，有资深管理和营销经验，曾推动一汽大众奥迪和上海大众斯柯达品牌在中国的发展。曾任北汽奔驰执行副总裁、沃尔沃汽车中国销售有限公司总裁兼CEO。 谷峰 联合创始人 谷峰，爱驰汽车联合创始人。上海财经大学研究生毕业，管理学博士，教授级高级会计师。曾历任上海汽车工业（集团）总公司财务部副经理、上海汽车集团股份有限公司财务部副经理、资本运营部执行总监、财务总监兼资本运营部执行总监、上海汽车投资管理有限公司总经理、上汽香港投资公司总经理、上汽集团CFO。 陈炫霖 董事长 陈炫霖，爱驰汽车董事长，上海中通瑞德投资集团有限公司董事长，兼任上海万象汽车制造有限公司董事长，目前执掌的中通瑞德投资集团（广微控股）是一家聚焦泛交通产业投资及产业运营的综合性集团，公司产业涉及汽车制造与商贸、通航产业及科技制造领域，主要产业公司为万象汽车、浙江中通控股、亚联公务机等。 张洋 CEO 张洋，爱驰汽车CEO。曾担任蔚来汽车产业发展副总裁等职务，拥有丰富的行业经验和资源。 展开全部 
2021-12-31,厚生新能源,先进制造,战略投资,未透露,"华鼎资本, 国调基金",50000,先进制造、新能源、新能源,"江苏厚生新能源科技有限公司是一家专业研发、生产、销售各种规格的湿法基膜和功能性涂布隔膜的公司。公司所服务的锂离子电池市场，处于清洁能源、节能环保及高效储能相关的关键环节，公司主营业务聚焦于锂离子电池关键材料领域。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-12-30,Hydro Wind Energy,先进制造,A轮,5675万美元,The Global Emerging Markets Group,184437.5,先进制造、新能源、新能源,Hydro Wind Energy是英国一家清洁能源研发商，通过风筝和垂直轴风力转子并结合海底海洋压力来利用海上高空风，为用户提供可靠、低成本的清洁电能和电网规模的储能服务，同时还为用户提供手持式海水淡化装置等产品。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-12-30,氢能公司,先进制造,A+轮,10.8亿人民币,,540000,先进制造、新能源、新能源,"氢能公司是一家氢能产业核心技术开发商，公司积极贯彻落实国家能源战略，依托国家电投产业资源和创新优势，在国家电投整体氢能产业战略布局框架下，高起点、快节奏开展氢能产业关键核心科技创新。致力于通过持续不断的市场化改革和发展，将氢能公司打造成为具有自主核心技术、研发与高端制造一体化、高度市场化的氢能行业领军企业，有力支撑国家电投氢能产业高质量发展。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-12-30,锦艺新材料,先进制造,战略投资,未透露,"中电基金（领投）, 晨道投资, 国发创投, 国投创业, 国新国同",50000,先进制造、新材料、新材料,锦艺新材料致力于提供高端无机非金属粉体新材料应用解决方案，是一家集研发、生产、销售、技术服务为一体的国家级高新技术企业。公司聚焦客户关注的压力和挑战，挖掘无机非金属材料的潜能，通过独有的核心技术和核心优势，融合各种有机材料，提供优异功能和低成本分体解决方案，大力拓展在新能源、新材料、环保节能等快速发展领域的应用。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
